title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Late Night with the Devil,2000000,15469415,93,9.1342,7.122,1639,False,Cameron Cairnes,David Dastmalchian,13469415,0.8707126287581011,Spooky Pictures,Horror,,
Ghostbusters: Afterlife,75000000,204334455,124,9.1316,7.345,4814,True,Jason Reitman,Mckenna Grace,129334455,0.6329547065373776,Columbia Pictures,Fantasy,Comedy,Adventure
The Longest Yard,90000000,191466556,113,9.1311,6.665,3483,False,Peter Segal,Adam Sandler,101466556,0.5299440180038544,Callahan Filmworks,Drama,Comedy,Crime
Jennifer's Body,16000000,31556061,107,9.1121,6.0,3959,False,Karyn Kusama,Megan Fox,15556061,0.49296586795164327,Fox Atomic,Horror,Comedy,
Operation Fortune: Ruse de Guerre,50000000,48983306,113,9.0975,6.482,1675,False,Guy Ritchie,Jason Statham,-1016694,-0.020755928560640638,Miramax,Action,Comedy,Thriller
Warcraft,160000000,433677183,123,9.09,6.389,6927,False,Duncan Jones,Travis Fimmel,273677183,0.6310619828020788,Legendary Pictures,Action,Adventure,Fantasy
8 Mile,41000000,242875078,111,9.084,7.14,7449,False,Curtis Hanson,Eminem,201875078,0.83118893738451,Mikona Productions,Drama,Music,
Scary Movie 2,45000000,141220678,82,9.0811,5.801,4788,True,Keenen Ivory Wayans,Anna Faris,96220678,0.6813497808019304,Brad Grey Pictures,Comedy,,
Mamma Mia!,52000000,609841637,108,9.0638,6.977,6684,True,Phyllida Lloyd,Meryl Streep,557841637,0.9147319617994532,Littlestar,Comedy,Romance,
A.I. Artificial Intelligence,100000000,235926552,146,9.0353,7.046,6293,False,Steven Spielberg,Haley Joel Osment,135926552,0.5761392723613407,Warner Bros. Pictures,Drama,Science Fiction,Adventure
Knight and Day,117000000,261989769,109,9.0257,6.221,4616,False,James Mangold,Tom Cruise,144989769,0.5534176756345016,Pink Machine,Action,Comedy,
The Polar Express,165000000,318432432,100,9.0247,6.72,6510,True,Robert Zemeckis,Tom Hanks,153432432,0.4818366993472574,Golden Mean,Animation,Adventure,Family
Rise of the Guardians,145000000,306941670,97,9.0228,7.363,6844,False,Peter Ramsey,Chris Pine,161941670,0.5275975399495285,DreamWorks Animation,Animation,Family,Fantasy
Megalopolis,120000000,13857002,138,9.0168,5.249,789,False,Francis Ford Coppola,Adam Driver,-106142998,-7.659881841685524,American Zoetrope,Science Fiction,Drama,
The Gray Man,200000000,454023,129,9.0124,6.945,3839,False,Joe Russo,Ryan Gosling,-199545977,-439.50631796186536,AGBO,Action,Thriller,
Enchanted,85000000,340487652,107,9.0007,6.838,5498,True,Kevin Lima,Amy Adams,255487652,0.7503580541005933,Walt Disney Pictures,Comedy,Family,Fantasy
The Zone of Interest,15000000,52631884,105,8.9925,7.02,2174,False,Jonathan Glazer,Christian Friedel,37631884,0.7150016518504259,A24,Drama,History,War
Barbarian,4500000,45400000,102,8.9879,6.83,2696,False,Zach Cregger,Georgina Campbell,40900000,0.9008810572687225,BoulderLight Pictures,Horror,Thriller,
Ant-Man,130000000,519311965,117,8.9767,7.072,20101,True,Peyton Reed,Paul Rudd,389311965,0.7496687756847659,Marvel Studios,Science Fiction,Action,Adventure
